emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
n,58.137767415,59.076221951,154.051939293,88,49,210
n,56.2227711875,57.3149195236,153.029408938,88,48,215
n,56.0357029045,55.4436651025,153.05227865,87,46,211
n,58.0344725142,57.2188780037,153.029408938,89,49,212
n,77.6981338257,65.0076918526,151.052970841,81,54,231
h,96.6643677888,95.4620343383,146.054784242,65,71,258
h,95.2732911156,95.078914592,155.051604313,59,75,267
h,91.2359578237,90.0777441991,154.051939293,55,75,273
h,86.7698104181,78.1024967591,159.050306507,49,75,285
h,72.4016574396,58.0775343829,157.050947148,49,83,298
h,58.137767415,57.0,152.029602381,40,96,308
h,58.0,57.008771255,153.029408938,48,94,311
h,57.1401785086,55.0363516233,154.029218007,44,100,307
h,57.008771255,56.0089278598,153.029408938,44,96,310
h,71.0633520178,67.007462271,154.081147452,44,98,301
h,93.3005894944,96.2081077664,147.030609058,47,96,306
h,70.0071424927,68.0,156.051273625,44,96,304
h,59.0338885726,57.008771255,156.028843487,50,99,303
h,57.008771255,57.0350769264,157.028659805,47,95,300
h,58.0775343829,57.0350769264,156.051273625,50,97,301
h,57.0350769264,56.0089278598,157.079597657,42,99,304
h,59.0084739677,57.008771255,155.051604313,46,100,302
h,57.008771255,58.0344725142,162.027775397,45,91,300
h,60.0,59.0338885726,157.050947148,43,98,300
h,66.0,62.0080639917,157.028659805,77,75,268
n,74.0945342114,59.076221951,157.050947148,86,56,217
n,74.0945342114,59.076221951,157.050947148,86,56,217
n,62.128898268,58.0344725142,154.051939293,75,45,212
n,77.1751255263,62.0080639917,154.081147452,78,45,212
n,77.0259696466,60.0749531835,152.05262247,80,46,214
n,76.0591874792,59.2114853723,151.082758778,76,46,214
n,77.6981338257,61.0,150.029997001,74,48,209
n,76.0065786626,59.0338885726,151.082758778,72,47,220
n,76.0065786626,59.0338885726,151.082758778,72,47,220
n,74.9466476902,58.0775343829,151.082758778,75,46,216
n,74.3303437366,57.008771255,154.051939293,75,48,225
n,73.7834669828,59.0338885726,151.052970841,74,50,213
n,76.6093989012,58.0344725142,153.05227865,77,47,211
n,75.7165767847,59.1354377679,151.119158282,75,48,217
n,71.5611626513,55.0090901579,152.118374958,76,47,210
n,75.1664818919,58.0086200491,153.081677545,75,49,211
a,58.412327466,45.3982378513,154.116838794,82,47,212
a,55.2268050859,46.6904701197,158.113883008,73,49,215
a,54.083269132,56.4003546088,151.211772029,69,51,208
a,54.2033209315,45.3541618818,154.20765221,67,50,210
a,52.4309069157,47.539457296,151.119158282,71,51,212
a,51.0392006207,43.1740662898,158.202402005,70,50,222
a,50.0,40.6078810085,154.262762843,61,53,212
a,54.5618914628,41.3037528561,155.206314305,74,47,211
a,53.4134814443,42.5793377121,154.324333791,65,51,225
a,49.8196748283,40.5215991787,152.397506541,80,47,219
a,52.6307894678,41.0,152.210380724,70,47,212
a,50.6063237155,42.7551166529,156.320184237,70,49,213
a,51.2249938995,44.72135955,155.32224567,66,50,207
a,52.4976189936,44.6430285711,155.261070459,77,46,223
a,51.2249938995,41.2310562562,155.32224567,75,47,223
a,53.2634959423,44.3846820423,154.262762843,69,52,211
a,52.6307894678,53.8237865632,155.157984003,71,49,217
n,69.2603782837,62.2896460096,149.120756436,86,48,225
n,74.4311762637,70.7106781187,149.083869013,82,52,227
h,73.4370478709,72.0277724215,150.053323855,88,65,238
h,71.1125867902,68.066144301,150.083310198,84,72,254
h,72.6911273815,70.3491293478,153.029408938,81,72,251
h,72.4430811051,71.0211236183,155.051604313,77,80,262
h,69.3541635376,73.1710325197,153.029408938,77,79,258
h,63.6396103068,62.6498204307,150.029997001,68,90,267
n,80.622577483,74.5452882482,156.051273625,73,67,237
h,73.2461603089,73.2461603089,156.080107637,47,92,280
sa,76.791926659,76.9415362467,152.029602381,56,69,233
sa,67.7200118133,77.8781098898,155.116085562,61,93,245
su,84.480767042,80.5046582503,151.013244452,69,149,222
n,77.4144689318,73.3348484692,152.029602381,74,68,236
n,80.622577483,74.5452882482,153.029408938,76,64,231
n,81.3941029805,76.4198926982,154.029218007,75,64,235
n,77.2334124586,72.0069441096,141.014183684,75,66,231
n,82.3893196962,75.5380698721,152.013157325,75,63,234
n,79.6303962065,73.3348484692,153.029408938,74,63,235
n,79.3095202356,75.4254598925,155.012902689,74,64,235
n,73.2461603089,71.0070419043,143.003496461,77,66,222
n,81.3941029805,76.1642960973,153.003267939,71,63,228
n,78.7718223732,74.5452882482,153.029408938,72,64,235
n,78.2304288624,74.966659256,155.003225773,70,64,235
n,78.5175139698,76.2364742102,156.028843487,69,64,234
n,79.6303962065,75.6637297521,158.012657721,73,65,234
h,78.6384130054,76.4198926982,152.013157325,58,94,248
h,75.1065909225,76.0065786626,147.003401321,71,74,235
h,75.2396172239,74.4311762637,156.003205095,49,102,277
h,73.8241153012,73.1710325197,160.028122529,49,85,283
h,73.4370478709,74.2428447731,158.003164525,48,94,289
h,73.5527021937,84.9058301885,156.012819986,51,84,282
h,73.3348484692,81.8840643837,159.050306507,47,91,287
